TRY Data Explorer Output	2014-4-30
Trait List

TraitID	Trait	ObsNum	ObsGRNum	AccSpecNum	
172	Stem conduit lumen area (vessels and tracheids) per sapwood area	2280	51	2271	
327	Stem diameter	625	625	121	
21	Stem diameter at 1.3 m (DBH)	9730	9719	1144	
460	Stem diameter at base	141	141	6	
461	Stem diameter at base of crown	73	73	3	
128	Stem dry mass per plant	1437	1359	390	
136	Stem dry mass per plant dry mass	282	116	163	
524	Stem dry mass per unit ground area	28	28	2	
374	Stem fraction cell wall in collenchym	6		6	
373	Stem fraction cell wall in pith	4		4	
372	Stem fraction cell wall in xylem	47		47	
797	Stem fraction of collenchym	19		19	
380	Stem fraction of pith	80		79	
386	Stem fraction of total area: cell wall	32		32	
384	Stem fraction of total area: collenchyma cell wall	32		32	
385	Stem fraction of total area: pith cell wall	32		32	
383	Stem fraction of total area: xylem cell wall	48		48	
381	Stem fraction of xylem	80		79	
382	Stem fraction tissues other than pith or xylem	80		79	
402	Stem internode area	82	82	72	
401	Stem internode area per leaf area	82	82	72	
393	Stem internode length	82	82	72	
395	Stem internode mass per metamer mass	82	82	72	
326	Stem length (height)	658	580	249	
406	Stem nitrogen (N) content per dry mass	2188	1718	415	
799	Stem nitrogen (N) content per dry mass vs foliage nitrogen (N) content per dry mass	4	4	1	
529	Stem nitrogen (N) content per plant	3	3	1	
670	Stem nitrogen (N) content per plant nitrogen (N) content	20		10	
528	Stem nitrogen (N) content per unit ground area	6	6	1	
686	Stem nitrogen/phosphorus (N/P) ratio	191		190	
676	Stem non-structural carbon (C) content per dry mass (TNC)	20		10	
616	Stem phosphorus (P) content per dry mass	1283	1056	253	
527	Stem respiration growth coefficient	1	1	1	
519	Stem respiration per dry mass	844	697	18	
521	Stem respiration per nitrogen (N) content	58	58	2	
520	Stem respiration per surface area	60	60	1	
532	Stem respiration per volume	42	42	1	
522	Stem respiration temperature dependence	42	42	2	
476	Stem sapwood volume per stem volume	8	8	2	
4	Stem specific density (SSD)	29246	10496	9580	
394	Stem specific internode mass	82	82	72	
530	Stem surface area per dry mass	3	3	2	
531	Stem surface area per volume	1	1	1	
378	Stem total area of cross section	80		79	
362	Stem volume	195	118	92	
625	Stem/Wood aluminium (Al) content per dry mass	6	6	3	
631	Stem/Wood antimony (Sb) content per dry mass	6	6	3	
639	Stem/Wood arsenic (As) content per dry mass	6	6	3	
633	Stem/Wood cadmium (Cd) content per dry mass	6	6	3	
623	Stem/Wood calcium (Ca) content per dry mass	6	6	3	
640	Stem/Wood chromium (Cr) content per dry mass	6	6	3	
636	Stem/Wood copper (Cu) content per dry mass	6	6	3	
626	Stem/Wood iron (Fe) content per dry mass	6	6	3	
634	Stem/Wood lead (Pb) content per dry mass	6	6	3	
624	Stem/Wood magnesium (Mg) content per dry mass	6	6	3	
630	Stem/Wood mercury (Hg) content per dry mass	6	6	3	
632	Stem/Wood molybdenum (Mo) content per dry mass	6	6	3	
635	Stem/Wood nickel (Ni) content per dry mass	6	6	3	
628	Stem/Wood potassium (K) content per dry mass	6	6	3	
627	Stem/Wood sodium (Na) content per dry mass	6	6	3	
629	Stem/Wood sulfur (S) content per dry mass	6	6	3	
637	Stem/Wood thallium (Ti) content per dry mass	6	6	3	
638	Stem/Wood zinc (Zn) content per dry mass	6	6	3	
68	Stomata area	109		57	
780	Stomata area per leaf area	56		56	
481	Stomata conductance model parameter (Ball-Berry, Jarvis, Leuning)	296	222	42	
45	Stomata conductance per leaf area	2776	1405	777	
106	Stomata conductance per leaf dry mass	1431		77	
428	Stomata conductance: leaf osmotic potential at final reduction	40		34	
427	Stomata conductance: leaf osmotic potential at initial reduction	40		34	
430	Stomata conductance: vapor pressure deficit at final reduction	37		34	
429	Stomata conductance: vapor pressure deficit at initial reduction	37		34	
63	Stomata density	450	83	120	
811	Stomata density: ratio of leaf adaxial to total stomatal density	7	7	3	
781	Stomata distribution	141		62	
733	Stomata guard cell length	50	50	21	
67	Stomata index (stomata / epidermis cells)	107		55	
737	Stomata pore area index	7	7	3	
735	Stomata pore area per leaf area index (LAI)	83	83	23	
734	Stomata pore length	32	32	15	
344	Vegetative regeneration	2040		1715	
356	Vegetative reproduction: clonal growth organ	469		274	
329	Vegetative reproduction: clonality of ramets	230	226	199	
149	Vegetative reproduction: distance between ramets	570	570	525	
334	Vegetative reproduction: lateral spread	179	80	143	
328	Vegetative reproduction: number of ramets	93	93	92	
358	Vegetative reproduction: persistence of connection between clonal growth organs	46		27	
357	Vegetative reproduction: role of clonal growth organ in plant growth	59		32	
613	Vegetative reproduction: spread rate	2034		1983	
320	Vital attributes of persistence and establishment	7357		5108	
800	Wood dry mass per plant	17	17	4	
478	Wood dry mass per plant dry mass	475	475	119	
289	Wood fibre lengths	3023		892	
564	Wood secretory elements	584		478	
565	Wood silica [SiO2] bodies	301		297	
420	Wood vessel bars per perforation plate	3152		918	
282	Wood vessel element length	3049		899	
419	Wood vessel scalariform perforations	1075		939	
38	Woodiness	44506	24739	15737	
518	Woody area index	11	11	5	
