defined_class	defined_class label label	attribute	attribute label	entity	entity label
TO:0000963	ear color	PATO:0000014	color	PO:0025597	ear infructescence
TO:1000017	stem cortex color	PATO:0000014	color	PO:0025612	stem cortex
TO:0002634	fruit firmness	PATO:0000037	consistency	PO:0009001	fruit
TO:0000801	inflorescence depth	PATO:0001595	depth	PO:0009049	inflorescence
TO:0000678	cob diameter	PATO:0001334	diameter	PO:0006505	central spike of ear inflorescence
TO:0000848	fruit diameter	PATO:0001334	diameter	PO:0009001	fruit
TO:0000858	flower diameter	PATO:0001334	diameter	PO:0009046	flower
TO:0020083	stem diameter	PATO:0001334	diameter	PO:0009047	stem
TO:0000802	inflorescence diameter	PATO:0001334	diameter	PO:0009049	inflorescence
TO:0000546	peduncle top diameter	PATO:0001334	diameter	PO:0009053	peduncle
TO:0000642	leaf sheath diameter	PATO:0001334	diameter	PO:0020104	leaf sheath
TO:0000799	tassel inflorescence diameter	PATO:0001334	diameter	PO:0020126	tassel inflorescence
TO:0000811	pseudostem diameter	PATO:0001334	diameter	PO:0025248	pseudostem
TO:1000006	tuberous root tuber diameter	PATO:0001334	diameter	PO:0025476	tuberous root tuber
TO:0000433	ear diameter	PATO:0001334	diameter	PO:0025597	ear infructescence
TO:0012012	leaf senescence duration	PATO:0001309	duration	GO:0010150	leaf senescence
TO:0000420	fertility related trait	PATO:0000274	fertility	PO:0000003	whole plant
TO:0000639	seed fertility	PATO:0000274	fertility	PO:0009010	seed
TO:0000180	spikelet fertility	PATO:0000274	fertility	PO:0009051	spikelet
TO:0000421	pollen fertility	PATO:0000274	fertility	PO:0025281	pollen
TO:0002694	fruit flavor trait	PATO:0000043	flavor	PO:0009001	fruit
TO:0000825	leaf flexibility	PATO:0001543	flexibility	PO:0025034	leaf
TO:0000108	leaf shattering	PATO:0001662	fragility	PO:0009025	vascular leaf
TO:0000061	node shattering	PATO:0001662	fragility	PO:0020141	stem node
TO:0000889	seed coat hardness	PATO:0000048	hardness	PO:0009088	seed coat
TO:0002685	crown root number	PATO:0001555	has number of	PO:0000043	crown root
TO:0000725	megasporocyte number	PATO:0001555	has number of	PO:0000431	megasporocyte
TO:0001004	basal tiller number	PATO:0001555	has number of	PO:0005001	basal axillary shoot system
TO:0000472	vascular bundle number	PATO:0001555	has number of	PO:0005020	vascular bundle
TO:0000557	secondary branch number	PATO:0001555	has number of	PO:0006321	primary inflorescence branch
TO:0006013	carpel number	PATO:0001555	has number of	PO:0009030	carpel
TO:0006040	sepal number	PATO:0001555	has number of	PO:0009031	sepal
TO:0006039	petal number	PATO:0001555	has number of	PO:0009032	petal
TO:0006041	tepal number	PATO:0001555	has number of	PO:0009033	tepal
TO:0006026	floral bract number	PATO:0001555	has number of	PO:0009034	flower bract
TO:0006010	lodicule number	PATO:0001555	has number of	PO:0009036	lodicule
TO:0000208	lemma number	PATO:0001555	has number of	PO:0009037	lemma
TO:0000209	palea number	PATO:0001555	has number of	PO:0009038	palea
TO:0006029	glume number	PATO:0001555	has number of	PO:0009039	glume
TO:0000210	anther number	PATO:0001555	has number of	PO:0009066	anther
TO:0000634	stem node number	PATO:0001555	has number of	PO:0020141	stem node
TO:0000225	stamen number	PATO:0001555	has number of	PO:0009029	stamen
TO:0000084	root number	PATO:0001555	has number of	PO:0009005	root
TO:0000241	leaf number	PATO:0001555	has number of	PO:0025034	leaf
TO:0002736	flower number trait	PATO:0001555	has number of	PO:0009046	flower
TO:0000582	inflorescence number	PATO:0001555	has number of	PO:0009049	inflorescence
TO:0000456	spikelet number	PATO:0001555	has number of	PO:0009051	spikelet
TO:0006028	inflorescence bract number	PATO:0001555	has number of	PO:0009054	inflorescence bract
TO:0002659	pistil number	PATO:0001555	has number of	PO:0009062	gynoecium
TO:0000547	primary branch number	PATO:0001555	has number of	PO:0009081	inflorescence branch
TO:0000726	microsporocyte number	PATO:0001555	has number of	PO:0020047	microsporocyte
TO:0002636	leaflet number	PATO:0001555	has number of	PO:0020049	leaflet
TO:0001013	lateral root number	PATO:0001555	has number of	PO:0020121	lateral root
TO:0000443	ear infructescence number	PATO:0001555	has number of	PO:0020136	ear inflorescence
TO:0000566	leaf stomatal complex frequency	PATO:0001555	has number of	PO:0025183	leaf stomatal complex
TO:0000207	plant height	PATO:0000119	height	PO:0000003	whole plant
TO:0000682	inflorescence height	PATO:0000119	height	PO:0009049	inflorescence
TO:0000797	tassel inflorescence height	PATO:0000119	height	PO:0020126	tassel inflorescence
TO:0000035	incompatibility trait	PATO:0000345	incompatible	PO:0000003	whole plant
TO:0000586	seminal root length	PATO:0000122	length	PO:0000046	seminal root
TO:0002665	root hair length	PATO:0000122	length	PO:0000256	root hair cell
TO:0000553	rhizome length	PATO:0000122	length	PO:0004542	rhizome
TO:0001005	basal tiller length	PATO:0000122	length	PO:0005001	basal axillary shoot system
TO:0002626	fruit length	PATO:0000122	length	PO:0009001	fruit
TO:0020107	plant cell length	PATO:0000122	length	PO:0009002	plant cell
TO:0000227	root length	PATO:0000122	length	PO:0009005	root
TO:0000146	seed length	PATO:0000122	length	PO:0009010	seed
TO:0002609	stamen length	PATO:0000122	length	PO:0009029	stamen
TO:0002607	sepal length	PATO:0000122	length	PO:0009031	sepal
TO:0002605	petal length	PATO:0000122	length	PO:0009032	petal
TO:0000856	lodicule length	PATO:0000122	length	PO:0009036	lodicule
TO:0000650	lemma length	PATO:0000122	length	PO:0009037	lemma
TO:0020033	glume length	PATO:0000122	length	PO:0009039	glume
TO:0000240	sterile lemma length	PATO:0000122	length	PO:0009040	sterile lemma
TO:0000860	flower length	PATO:0000122	length	PO:0009046	flower
TO:0000576	stem length	PATO:0000122	length	PO:0009047	stem
TO:0000271	inflorescence length	PATO:0000122	length	PO:0009049	inflorescence
TO:0002768	spikelet length	PATO:0000122	length	PO:0009051	spikelet
TO:0000630	pedicel length	PATO:0000122	length	PO:0009052	flower pedicel
TO:0002691	peduncle length	PATO:0000122	length	PO:0009053	peduncle
TO:0000817	inflorescence bract length	PATO:0000122	length	PO:0009054	inflorescence bract
TO:0002610	pistil length	PATO:0000122	length	PO:0009062	gynoecium
TO:0000531	anther length	PATO:0000122	length	PO:0009066	anther
TO:0011008	stigma length	PATO:0000122	length	PO:0009073	stigma
TO:0011009	style length	PATO:0000122	length	PO:0009074	style
TO:0000972	spikelet rachilla length	PATO:0000122	length	PO:0009080	spikelet rachilla
TO:0000641	inflorescence primary branch length	PATO:0000122	length	PO:0009081	inflorescence branch
TO:0000880	seed coat length	PATO:0000122	length	PO:0009088	seed coat
TO:0000623	involucre bristle length	PATO:0000122	length	PO:0009100	involucre
TO:0001007	coleoptile length	PATO:0000122	length	PO:0020033	coleoptile
TO:0000544	mesocotyl length	PATO:0000122	length	PO:0020037	mesocotyl
TO:0000766	petiole length	PATO:0000122	length	PO:0020038	petiole
TO:0002690	leaf lamina length	PATO:0000122	length	PO:0020039	leaf lamina
TO:1000020	stipule length	PATO:0000122	length	PO:0020041	stipule
TO:0000887	petiolule length	PATO:0000122	length	PO:0020050	petiolule
TO:0002757	flag leaf length	PATO:0000122	length	PO:0020103	flag leaf
TO:0002689	leaf sheath length	PATO:0000122	length	PO:0020104	leaf sheath
TO:0000024	ligule length	PATO:0000122	length	PO:0020105	ligule
TO:0001012	lateral root length	PATO:0000122	length	PO:0020121	lateral root
TO:0000798	tassel inflorescence length	PATO:0000122	length	PO:0020126	tassel inflorescence
TO:0000145	internode length	PATO:0000122	length	PO:0020142	stem internode
TO:0000135	leaf length	PATO:0000122	length	PO:0025034	leaf
TO:0000554	rhizome internode length	PATO:0000122	length	PO:0025204	rhizome internode
TO:0000808	pseudostem length	PATO:0000122	length	PO:0025248	pseudostem
TO:0006065	seedling hypocotyl length	PATO:0000122	length	PO:0025291	seedling hypocotyl
TO:0000072	awn length	PATO:0000122	length	PO:0025349	awn
TO:1000014	leaf lamina lobe length	PATO:0000122	length	PO:0025517	leaf lamina lobe
TO:0000431	ear length	PATO:0000122	length	PO:0025597	ear infructescence
TO:0000746	subterranean shoot axis tuber mass	PATO:0000125	mass	PO:0004547	subterranean shoot axis tuber
TO:0000612	grain density	PATO:0001019	mass density	PO:0009010	seed
TO:0000625	spikelet density	PATO:0001019	mass density	PO:0009051	spikelet
TO:0000567	tiller angle	PATO:0000133	orientation	PO:0005001	basal axillary shoot system
TO:0000206	leaf angle	PATO:0000133	orientation	PO:0009025	vascular leaf
TO:0000577	stem angle	PATO:0000133	orientation	PO:0009047	stem
TO:0000124	flag leaf angle	PATO:0000133	orientation	PO:0020103	flag leaf
TO:0000270	inflorescence axis angle	PATO:0000133	orientation	PO:0020122	inflorescence axis
TO:0000616	leaf perimeter	PATO:0001711	perimeter	PO:0009025	vascular leaf
TO:1000004	infructescence position	PATO:0000140	position	PO:0006342	infructescence
TO:1000011	fruit position	PATO:0000140	position	PO:0009001	fruit
TO:0000541	leaf position	PATO:0000140	position	PO:0025034	leaf
TO:1000008	branch position	PATO:0000140	position	PO:0025073	branch
TO:0000683	ear infructescence position	PATO:0000140	position	PO:0025597	ear infructescence
TO:0000730	mitotic cell cycle trait	PATO:0001236	process quality	GO:0000278	mitotic cell cycle
TO:0000728	cell cycle trait	PATO:0001236	process quality	GO:0007049	cell cycle
TO:0000283	biological process trait	PATO:0001236	process quality	GO:0008150	biological_process
TO:0002633	fruit ripening trait	PATO:0001236	process quality	GO:0009835	fruit ripening
TO:0000622	flower development trait	PATO:0001236	process quality	GO:0009908	flower development
TO:0000621	inflorescence development trait	PATO:0001236	process quality	GO:0010229	inflorescence development
TO:0006022	floral organ development trait	PATO:0001236	process quality	GO:0048437	floral organ development
TO:0020110	gynoecium development trait	PATO:0001236	process quality	GO:0048467	gynoecium development
TO:0000729	meiotic cell cycle trait	PATO:0001236	process quality	GO:0051321	meiotic cell cycle
TO:0000656	root development trait	PATO:0001236	process quality	PO:0007520	root development stage
TO:0006015	plant tissue development trait	PATO:0001236	process quality	PO:0025423	plant tissue development stage
TO:0000599	enzyme activity trait	PATO:0000001	quality	GO:0003824	catalytic activity
TO:0000705	acid phosphatase activity trait	PATO:0000001	quality	GO:0003993	acid phosphatase activity
TO:0000288	alpha-amylase activity trait	PATO:0000001	quality	GO:0004556	alpha-amylase activity
TO:0000311	invertase activity trait	PATO:0000001	quality	GO:0004564	beta-fructofuranosidase activity
TO:0000284	ADP glucose pyrophosphorylase activity trait	PATO:0000001	quality	GO:0008878	glucose-1-phosphate adenylyltransferase activity
TO:0000699	sucrose synthase activity trait	PATO:0000001	quality	GO:0016157	sucrose synthase activity
TO:0000703	amylase activity trait	PATO:0000001	quality	GO:0016160	amylase activity
TO:0000338	beta-amylase activity trait	PATO:0000001	quality	GO:0016161	beta-amylase activity
TO:0000704	phosphatase activity trait	PATO:0000001	quality	GO:0016791	phosphatase activity
TO:0000331	sucrose phosphate synthase activity trait	PATO:0000001	quality	GO:0046524	sucrose-phosphate synthase activity
TO:0020070	beta-glucanase activity trait	PATO:0000001	quality	GO:0052736	beta-glucanase activity
TO:0002728	fruit quality trait	TO:0000597	quality trait	PO:0009001	fruit
TO:0000587	endosperm quality	TO:0000597	quality trait	PO:0009089	endosperm
TO:0001026	respiration rate	PATO:0000161	rate	GO:0007585	respiratory gaseous exchange
TO:0001018	transpiration rate	PATO:0000161	rate	GO:0010148	transpiration
TO:0012011	leaf senescence rate	PATO:0000161	rate	GO:0010150	leaf senescence
TO:0000520	stomatal closure rate	PATO:0000161	rate	GO:0090332	stomatal closure
TO:0002656	starch grain shape	PATO:0000052	shape	GO:0043036	starch grain
TO:0000743	subterranean shoot axis tuber shape	PATO:0000052	shape	PO:0004547	subterranean shoot axis tuber
TO:0000793	axillary bud shape	PATO:0000052	shape	PO:0004709	axillary bud
TO:0002630	fruit distal end shape	PATO:0000052	shape	PO:0008001	fruit distal end
TO:0002631	fruit proximal end shape	PATO:0000052	shape	PO:0008002	fruit proximal end
TO:0002628	fruit shape	PATO:0000052	shape	PO:0009001	fruit
TO:0002682	plant cell shape	PATO:0000052	shape	PO:0009002	plant cell
TO:0002710	root shape	PATO:0000052	shape	PO:0009005	root
TO:0000193	embryo shape	PATO:0000052	shape	PO:0009009	plant embryo
TO:0000484	seed shape	PATO:0000052	shape	PO:0009010	seed
TO:0006037	carpel shape	PATO:0000052	shape	PO:0009030	carpel
TO:0006011	lodicule shape	PATO:0000052	shape	PO:0009036	lodicule
TO:0000614	lemma shape	PATO:0000052	shape	PO:0009037	lemma
TO:0000978	glume shape	PATO:0000052	shape	PO:0009039	glume
TO:0002726	sterile lemma shape	PATO:0000052	shape	PO:0009040	sterile lemma
TO:0000859	flower shape	PATO:0000052	shape	PO:0009046	flower
TO:0000893	stem shape	PATO:0000052	shape	PO:0009047	stem
TO:0000268	inflorescence shape	PATO:0000052	shape	PO:0009049	inflorescence
TO:0000214	anther shape	PATO:0000052	shape	PO:0009066	anther
TO:0000973	spikelet rachilla shape	PATO:0000052	shape	PO:0009080	spikelet rachilla
TO:0000767	petiole shape	PATO:0000052	shape	PO:0020038	petiole
TO:0000886	petiolule shape	PATO:0000052	shape	PO:0020050	petiolule
TO:0000335	ligule shape	PATO:0000052	shape	PO:0020105	ligule
TO:1000000	stem internode bent	PATO:0000052	shape	PO:0020142	stem internode
TO:0000492	leaf shape	PATO:0000052	shape	PO:0025034	leaf
TO:0000809	pseudostem shape	PATO:0000052	shape	PO:0025248	pseudostem
TO:0000964	ear shape	PATO:0000052	shape	PO:0025597	ear infructescence
TO:0002655	starch grain size	PATO:0000117	size	GO:0043036	starch grain
TO:1000012	whole plant size	PATO:0000117	size	PO:0000003	whole plant
TO:0000744	subterranean shoot axis tuber size	PATO:0000117	size	PO:0004547	subterranean shoot axis tuber
TO:0000791	axillary bud size	PATO:0000117	size	PO:0004709	axillary bud
TO:0002632	fruit abscission zone size	PATO:0000117	size	PO:0006503	fruit abscission zone
TO:0002625	fruit size	PATO:0000117	size	PO:0009001	fruit
TO:0002684	plant cell size	PATO:0000117	size	PO:0009002	plant cell
TO:0000391	seed size	PATO:0000117	size	PO:0009010	seed
TO:0002601	stamen size	PATO:0000117	size	PO:0009029	stamen
TO:0002604	sepal size	PATO:0000117	size	PO:0009031	sepal
TO:0002603	petal size	PATO:0000117	size	PO:0009032	petal
TO:0000892	stem size	PATO:0000117	size	PO:0009047	stem
TO:0006031	inflorescence size	PATO:0000117	size	PO:0009049	inflorescence
TO:0002602	pistil size	PATO:0000117	size	PO:0009062	gynoecium
TO:0000768	petiole size	PATO:0000117	size	PO:0020038	petiole
TO:0000783	inflorescence axis size	PATO:0000117	size	PO:0020122	inflorescence axis
TO:0002637	leaf size	PATO:0000117	size	PO:0025034	leaf
TO:0000877	spine leaf size	PATO:0000117	size	PO:0025173	spine leaf
TO:0000781	seedling hypocotyl size	PATO:0000117	size	PO:0025291	seedling hypocotyl
TO:0000752	seedling cotyledon size	PATO:0000117	size	PO:0025471	seedling cotyledon
TO:0000051	stem strength	PATO:0001230	strength	PO:0009047	stem
TO:0000504	leaf temperature	PATO:0000146	temperature	PO:0025034	leaf
TO:0020016	seed texture	PATO:0000150	texture	PO:0009010	seed
TO:0000805	inflorescence texture	PATO:0000150	texture	PO:0009049	inflorescence
TO:0002623	pericarp texture	PATO:0000150	texture	PO:0009084	pericarp
TO:0002624	exocarp texture	PATO:0000150	texture	PO:0009085	exocarp
TO:0000903	seed coat texture	PATO:0000150	texture	PO:0009088	seed coat
TO:0002754	inflorescence axis texture	PATO:0000150	texture	PO:0020122	inflorescence axis
TO:0000306	root thickness	PATO:0000915	thickness	PO:0009005	root
TO:0000304	seed thickness	PATO:0000915	thickness	PO:0009010	seed
TO:0000339	stem thickness	PATO:0000915	thickness	PO:0009047	stem
TO:0000907	exocarp thickness	PATO:0000915	thickness	PO:0009085	exocarp
TO:0000823	leaf midvein thickness	PATO:0000915	thickness	PO:0020139	leaf midvein
TO:0000094	basal root thickness	PATO:0000915	thickness	PO:0025002	basal root
TO:0000258	leaf thickness	PATO:0000915	thickness	PO:0025034	leaf
TO:0002719	awn thickness	PATO:0000915	thickness	PO:0025349	awn
TO:0000521	stomatal closure time	PATO:0000165	time	GO:0090332	stomatal closure
TO:0000503	leaf rolling time	PATO:0000165	time	TO:0000085	leaf rolling
TO:0000345	seed viability	PATO:0000169	viability	PO:0009010	seed
TO:0002742	fruit volume	PATO:0000918	volume	PO:0009001	fruit
TO:0000233	root volume	PATO:0000918	volume	PO:0009005	root
TO:0000826	leaf volume	PATO:0000918	volume	PO:0025034	leaf
TO:1000002	secondary xylem volumetric density	PATO:0001353	volumetric density	PO:0005848	secondary xylem
TO:0000115	root mass density	PATO:0001353	volumetric density	PO:0009005	root
TO:0020038	glume waxiness	PATO:0002381	waxiness	PO:0009039	glume
TO:0000787	inflorescence waxiness	PATO:0002381	waxiness	PO:0009049	inflorescence
TO:0000777	peduncle waxiness	PATO:0002381	waxiness	PO:0009053	peduncle
TO:0000899	root nodule weight	PATO:0000128	weight	PO:0003023	root nodule
TO:0000583	infructescence weight	PATO:0000128	weight	PO:0006342	infructescence
TO:0002746	fruit weight	PATO:0000128	weight	PO:0009001	fruit
TO:0000279	root weight	PATO:0000128	weight	PO:0009005	root
TO:0000181	seed weight	PATO:0000128	weight	PO:0009010	seed
TO:0000952	stem weight	PATO:0000128	weight	PO:0009047	stem
TO:0000803	inflorescence weight	PATO:0000128	weight	PO:0009049	inflorescence
TO:0000501	spikelet weight	PATO:0000128	weight	PO:0009051	spikelet
TO:0000568	shoot axis weight	PATO:0000128	weight	PO:0025029	shoot axis
TO:0000505	leaf weight	PATO:0000128	weight	PO:0025034	leaf
TO:0000923	ear weight	PATO:0000128	weight	PO:0025597	ear infructescence
TO:0002627	fruit width	PATO:0000921	width	PO:0009001	fruit
TO:0000149	seed width	PATO:0000921	width	PO:0009010	seed
TO:0002608	sepal width	PATO:0000921	width	PO:0009031	sepal
TO:0002606	petal width	PATO:0000921	width	PO:0009032	petal
TO:0020034	glume width	PATO:0000921	width	PO:0009039	glume
TO:0002727	sterile lemma width	PATO:0000921	width	PO:0009040	sterile lemma
TO:0001035	stem width	PATO:0000921	width	PO:0009047	stem
TO:0000804	inflorescence width	PATO:0000921	width	PO:0009049	inflorescence
TO:0000564	spikelet width	PATO:0000921	width	PO:0009051	spikelet
TO:0000649	peduncle width	PATO:0000921	width	PO:0009053	peduncle
TO:0002720	leaf lamina width	PATO:0000921	width	PO:0020039	leaf lamina
TO:0002721	leaf sheath width	PATO:0000921	width	PO:0020104	leaf sheath
TO:0000370	leaf width	PATO:0000921	width	PO:0025034	leaf
TO:0011007	awn width	PATO:0000921	width	PO:0025349	awn
TO:1000015	leaf lamina lobe width	PATO:0000921	width	PO:0025517	leaf lamina lobe
TO:0002614	floral organ length	PATO:0000122	length	PO:0025395	floral organ
TO:0002600	floral organ size	PATO:0000117	size	PO:0025395	floral organ
TO:0002615	floral organ width	PATO:0000921	width	PO:0025395	floral organ
TO:0000638	spike width	PATO:0000921	width	PO:0030117	spike inflorescence
TO:0000670	floret number	PATO:0001555	has number of	PO:0009082	spikelet floret
TO:0000924	cob color	PATO:0000014	color	PO:0025623	ear infructescence axis
TO:0000894	fruit number trait	PATO:0001555	has number of	PO:0009001	fruit
TO:0000851	fruit hairiness	PATO:0000454	hairy	PO:0009001	fruit
TO:0000971	inflorescence hairiness	PATO:0000454	hairy	PO:0009049	inflorescence
TO:0002743	grain volume	PATO:0000918	volume	PO:0030104	caryopsis fruit
TO:0000853	spikelet floret shape	PATO:0000052	shape	PO:0030117	spike inflorescence
TO:0000426	stem internode color	PATO:0000014	color	PO:0020142	stem internode
TO:0000953	stem number	PATO:0001555	has number of	PO:0009047	stem
TO:0000397	grain size	PATO:0000117	size	PO:0030104	caryopsis fruit
TO:0001057	root system width	PATO:0000921	width	PO:0025025	root system
TO:0000751	seedling cotyledon number	PATO:0001555	has number of	PO:0025471	seedling cotyledon
TO:0002759	grain number	PATO:0001555	has number of	PO:0030104	caryopsis fruit
TO:0001066	number of metaxylem vessels	PATO:0001555	has number of	PO:0025620	metaxylem vessel
TO:0000813	tassel branch number	PATO:0001555	has number of	PO:0006323	tassel inflorescence branch
